Unnamed: 0,Owner,Team,League,Recipient,Amount,Election Year,Party,Performance,Degree
1352,Jody Allen (Paul G. Allen Trust),PORTLAND TRAIL BLAZERS SEATTLE SEAHAWKS,"NBA, NFL",STEVE DAINES FOR MONTANA,"$2,000 ",2018,Republican,0.6114999999999999,
1353,Jody Allen (Paul G. Allen Trust),PORTLAND TRAIL BLAZERS SEATTLE SEAHAWKS,"NBA, NFL","BEN CARDIN FOR SENATE, INC.","$2,000 ",2018,Democrat,0.6114999999999999,
1354,Jody Allen (Paul G. Allen Trust),PORTLAND TRAIL BLAZERS SEATTLE SEAHAWKS,"NBA, NFL",CORY BOOKER FOR SENATE,"$2,000 ",2018,Democrat,0.6114999999999999,
1355,Jody Allen (Paul G. Allen Trust),PORTLAND TRAIL BLAZERS SEATTLE SEAHAWKS,"NBA, NFL",GARAMENDI FOR CONGRESS,"$2,000 ",2018,Democrat,0.6114999999999999,
1356,Jody Allen (Paul G. Allen Trust),PORTLAND TRAIL BLAZERS SEATTLE SEAHAWKS,"NBA, NFL",MARTIN HEINRICH FOR SENATE,"$2,000 ",2018,Democrat,0.6114999999999999,
1357,Jody Allen (Paul G. Allen Trust),PORTLAND TRAIL BLAZERS SEATTLE SEAHAWKS,"NBA, NFL",TEXANS FOR HENRY CUELLAR CONGRESSIONAL CAMPAIGN,"$2,000 ",2018,Democrat,0.6114999999999999,
1358,Jody Allen (Paul G. Allen Trust),PORTLAND TRAIL BLAZERS SEATTLE SEAHAWKS,"NBA, NFL",WYDEN FOR SENATE,"$2,000 ",2018,Democrat,0.6114999999999999,
1359,Jody Allen (Paul G. Allen Trust),PORTLAND TRAIL BLAZERS SEATTLE SEAHAWKS,"NBA, NFL",BOB CORKER FOR SENATE 2018 INC,"$1,000 ",2016,Republican,0.5965,
1360,Jody Allen (Paul G. Allen Trust),PORTLAND TRAIL BLAZERS SEATTLE SEAHAWKS,"NBA, NFL",CARLOS CURBELO CONGRESS,"$1,000 ",2016,Republican,0.5965,
1361,Jody Allen (Paul G. Allen Trust),PORTLAND TRAIL BLAZERS SEATTLE SEAHAWKS,"NBA, NFL",COLLINS FOR SENATOR,"$1,000 ",2016,Republican,0.5965,
1362,Jody Allen (Paul G. Allen Trust),PORTLAND TRAIL BLAZERS SEATTLE SEAHAWKS,"NBA, NFL",CORY GARDNER FOR SENATE,"$1,000 ",2016,Republican,0.5965,
1363,Jody Allen (Paul G. Allen Trust),PORTLAND TRAIL BLAZERS SEATTLE SEAHAWKS,"NBA, NFL",FRIENDS OF JIM BRIDENSTINE INC.,"$1,000 ",2016,Republican,0.5965,
1364,Jody Allen (Paul G. Allen Trust),PORTLAND TRAIL BLAZERS SEATTLE SEAHAWKS,"NBA, NFL",JEFF FLAKE FOR US SENATE INC,"$1,000 ",2016,Republican,0.5965,
1365,Jody Allen (Paul G. Allen Trust),PORTLAND TRAIL BLAZERS SEATTLE SEAHAWKS,"NBA, NFL",RYAN COSTELLO FOR CONGRESS,"$1,000 ",2016,Republican,0.5965,
1366,Jody Allen (Paul G. Allen Trust),PORTLAND TRAIL BLAZERS SEATTLE SEAHAWKS,"NBA, NFL",BLUMENAUER FOR CONGRESS,"$1,000 ",2016,Democrat,0.5965,
1367,Jody Allen (Paul G. Allen Trust),PORTLAND TRAIL BLAZERS SEATTLE SEAHAWKS,"NBA, NFL",FRIENDS OF BRADY WALKINSHAW,"$1,000 ",2016,Democrat,0.5965,
1368,Jody Allen (Paul G. Allen Trust),PORTLAND TRAIL BLAZERS SEATTLE SEAHAWKS,"NBA, NFL",WHITEHOUSE FOR SENATE,"$1,000 ",2016,Democrat,0.5965,
1369,Jody Allen (Paul G. Allen Trust),PORTLAND TRAIL BLAZERS SEATTLE SEAHAWKS,"NBA, NFL",CARLOS CURBELO CONGRESS,"$1,000 ",2018,Republican,0.6114999999999999,
1370,Jody Allen (Paul G. Allen Trust),PORTLAND TRAIL BLAZERS SEATTLE SEAHAWKS,"NBA, NFL",CULBERSON FOR CONGRESS,"$1,000 ",2018,Republican,0.6114999999999999,
1371,Jody Allen (Paul G. Allen Trust),PORTLAND TRAIL BLAZERS SEATTLE SEAHAWKS,"NBA, NFL",DEBBIE DINGELL FOR CONGRESS,"$1,000 ",2018,Republican,0.6114999999999999,
1372,Jody Allen (Paul G. Allen Trust),PORTLAND TRAIL BLAZERS SEATTLE SEAHAWKS,"NBA, NFL",MARTHA ROBY FOR CONGRESS,"$1,000 ",2018,Republican,0.6114999999999999,
1373,Jody Allen (Paul G. Allen Trust),PORTLAND TRAIL BLAZERS SEATTLE SEAHAWKS,"NBA, NFL",ROBERT ADERHOLT FOR CONGRESS,"$1,000 ",2018,Republican,0.6114999999999999,
1374,Jody Allen (Paul G. Allen Trust),PORTLAND TRAIL BLAZERS SEATTLE SEAHAWKS,"NBA, NFL",ROYCE CAMPAIGN COMMITTEE,"$1,000 ",2018,Republican,0.6114999999999999,
1375,Jody Allen (Paul G. Allen Trust),PORTLAND TRAIL BLAZERS SEATTLE SEAHAWKS,"NBA, NFL",SANFORD FOR CONGRESS,"$1,000 ",2018,Republican,0.6114999999999999,
1376,Jody Allen (Paul G. Allen Trust),PORTLAND TRAIL BLAZERS SEATTLE SEAHAWKS,"NBA, NFL",VOLUNTEERS FOR SHIMKUS,"$1,000 ",2018,Republican,0.6114999999999999,
1377,Jody Allen (Paul G. Allen Trust),PORTLAND TRAIL BLAZERS SEATTLE SEAHAWKS,"NBA, NFL",DIANA DEGETTE FOR CONGRESS,"$1,000 ",2018,Democrat,0.6114999999999999,
1378,Jody Allen (Paul G. Allen Trust),PORTLAND TRAIL BLAZERS SEATTLE SEAHAWKS,"NBA, NFL",VISCLOSKY FOR CONGRESS,"$1,000 ",2018,Democrat,0.6114999999999999,
1379,Jody Allen (Paul G. Allen Trust),PORTLAND TRAIL BLAZERS SEATTLE SEAHAWKS,"NBA, NFL",COMSTOCK FOR CONGRESS,$500 ,2016,Republican,0.5965,
1380,Jody Allen (Paul G. Allen Trust),PORTLAND TRAIL BLAZERS SEATTLE SEAHAWKS,"NBA, NFL",MIKE HONDA FOR CONGRESS,$500 ,2016,Democrat,0.5965,
1381,Jody Allen (Paul G. Allen Trust),PORTLAND TRAIL BLAZERS SEATTLE SEAHAWKS,"NBA, NFL",REED COMMITTEE; THE,$500 ,2016,Democrat,0.5965,
1382,Jody Allen (Paul G. Allen Trust),PORTLAND TRAIL BLAZERS SEATTLE SEAHAWKS,"NBA, NFL",SAWTOOTH POLITICAL ACTION COMMITTEE (SAWTOOTH PAC),$500 ,2018,Republican,0.6114999999999999,
1383,Jody Allen (Paul G. Allen Trust),PORTLAND TRAIL BLAZERS SEATTLE SEAHAWKS,"NBA, NFL",WALDEN FOR CONGRESS,$500 ,2018,Republican,0.6114999999999999,
1384,Joe Ellis,DENVER BRONCOS,NFL,Gridiron-PAC,"$10,000 ",2016,Bipartisan,0.563,
1385,Joe Ellis,DENVER BRONCOS,NFL,Stapleton Victory Fund,"$10,000 ",2018,Republican,0.375,
1386,Joe Ellis,DENVER BRONCOS,NFL,Gridiron-PAC,"$5,000 ",2018,Bipartisan,0.375,
1387,Joe Ellis,DENVER BRONCOS,NFL,Gridiron-PAC,"$5,000 ",2020,Bipartisan,0.313,
1388,Joe Ellis,DENVER BRONCOS,NFL,Colorado Republican Committee,"$2,000 ",2016,Republican,0.563,
1391,Joel Glazer,TAMPA BAY BUCCANEERS,NFL,Gridiron-PAC,"$10,000 ",2016,Bipartisan,0.563,
1392,Joel Glazer,TAMPA BAY BUCCANEERS,NFL,Gridiron-PAC,"$10,000 ",2018,Bipartisan,0.313,
1393,Joel Glazer,TAMPA BAY BUCCANEERS,NFL,Hillary Victory Fund,"$5,400 ",2016,Democrat,0.563,
1394,Joel Glazer,TAMPA BAY BUCCANEERS,NFL,Charlie Crist for Congress,"$5,400 ",2018,Democrat,0.313,
1395,Joel Glazer,TAMPA BAY BUCCANEERS,NFL,Gridiron-PAC,"$5,000 ",2020,Bipartisan,0.688,
1396,John Fisher,OAKLAND ATHLETICS,MLB,COTTON VICTORY,"$10,400 ",2018,Republican,0.599,
1397,John Fisher,OAKLAND ATHLETICS,MLB,BOB CORKER FOR SENATE 2018 INC,"$5,400 ",2018,Republican,0.599,
1398,John Fisher,OAKLAND ATHLETICS,MLB,COMSTOCK FOR CONGRESS,"$5,400 ",2018,Republican,0.599,
1399,John Fisher,OAKLAND ATHLETICS,MLB,DAN CRENSHAW FOR CONGRESS,"$5,400 ",2018,Republican,0.599,
1400,John Fisher,OAKLAND ATHLETICS,MLB,FRIENDS OF ANDY COLEMAN,"$5,400 ",2018,Republican,0.599,
1401,John Fisher,OAKLAND ATHLETICS,MLB,HATCH ELECTION COMMITTEE INC,"$5,400 ",2018,Republican,0.599,
1402,John Fisher,OAKLAND ATHLETICS,MLB,HELLER FOR SENATE,"$5,400 ",2018,Republican,0.599,
1403,John Fisher,OAKLAND ATHLETICS,MLB,HURD VICTORY FUND,"$5,400 ",2018,Republican,0.599,
1404,John Fisher,OAKLAND ATHLETICS,MLB,JEFF FLAKE FOR US SENATE INC,"$5,400 ",2018,Republican,0.599,
1405,John Fisher,OAKLAND ATHLETICS,MLB,MIMI WALTERS VICTORY FUND,"$5,400 ",2018,Republican,0.599,
1406,John Fisher,OAKLAND ATHLETICS,MLB,SASSE LEADERSHIP COMMITTEE,"$5,400 ",2018,Republican,0.599,
1407,John Fisher,OAKLAND ATHLETICS,MLB,WINNING WOMEN FOR THE US SENATE,"$5,400 ",2018,Republican,0.599,
1408,John Fisher,OAKLAND ATHLETICS,MLB,CARPER FOR SENATE,"$5,400 ",2018,Democrat,0.599,
1409,John Fisher,OAKLAND ATHLETICS,MLB,DIANA DEGETTE FOR CONGRESS,"$5,400 ",2018,Democrat,0.599,
1410,John Fisher,OAKLAND ATHLETICS,MLB,FEINSTEIN FOR SENATE 2024,"$5,400 ",2018,Democrat,0.599,
1411,John Fisher,OAKLAND ATHLETICS,MLB,MORE CONSERVATIVES PAC (MCPAC),"$5,000 ",2018,Republican,0.599,
1412,John Fisher,OAKLAND ATHLETICS,MLB,GAP INC. POLITICAL ACTION COMMITTEE; THE,"$5,000 ",2020,Bipartisan,0.6,
1413,John Fisher,OAKLAND ATHLETICS,MLB,BRADY FOR CONGRESS,"$2,800 ",2020,Republican,0.6,
1414,John Fisher,OAKLAND ATHLETICS,MLB,MAKING AMERICA PROSPEROUS PAC,"$2,700 ",2018,Republican,0.599,
1415,John Fisher,OAKLAND ATHLETICS,MLB,CORY BOOKER FOR SENATE,"$2,700 ",2018,Democrat,0.599,
1416,John Fisher,OAKLAND ATHLETICS,MLB,DOUG JONES FOR SENATE COMMITTEE,"$2,700 ",2018,Democrat,0.599,
1417,John Fisher,OAKLAND ATHLETICS,MLB,KENNETH SHEETS FOR CONGRESS,"$1,000 ",2018,Republican,0.599,
1418,John Fisher,OAKLAND ATHLETICS,MLB,VAN TAYLOR CAMPAIGN,"$1,000 ",2018,Republican,0.599,
1419,John Mara,NEW YORK GIANTS,NFL,GRIDIRON-PAC,"$10,000 ",2016,Bipartisan,0.688,
1420,John Mara,NEW YORK GIANTS,NFL,GRIDIRON-PAC,"$5,000 ",2018,Bipartisan,0.313,
1421,John Mara,NEW YORK GIANTS,NFL,GRIDIRON-PAC,"$5,000 ",2020,Bipartisan,0.375,
1422,John Mara,NEW YORK GIANTS,NFL,HATCH ELECTION COMMITTEE INC,"$1,000 ",2016,Republican,0.688,
1423,John Middleton,PHILADELPHIA PHILLIES,MLB,Office of the Commissioner of Major League Baseball PAC,"$10,000 ",2018,Bipartisan,0.494,
1424,John Middleton,PHILADELPHIA PHILLIES,MLB,Office of the Commissioner of Major League Baseball PAC,"$5,000 ",2020,Bipartisan,0.467,
1425,John Middleton,PHILADELPHIA PHILLIES,MLB,Brier for Congress,"$2,800 ",2020,Democrat,0.467,
1426,John Middleton,PHILADELPHIA PHILLIES,MLB,Cathy McMorris Rodgers for Congress,"$2,700 ",2016,Republican,0.438,
1427,John Middleton,PHILADELPHIA PHILLIES,MLB,"Kasich for America, Inc.","$2,700 ",2016,Republican,0.438,
1428,John Middleton,PHILADELPHIA PHILLIES,MLB,MCMORRIS RODGERS AMERICAN DREAM PROJECT; THE,"$2,700 ",2016,Republican,0.438,
1429,John P. McConnell,COLUMBUS BLUE JACKETS,NHL,Stivers Victory Committee,"$10,400 ",2016,Republican,0.463,
1430,John P. McConnell,COLUMBUS BLUE JACKETS,NHL,Stivers for Congress,"$5,400 ",2018,Republican,0.591,
1431,John P. McConnell,COLUMBUS BLUE JACKETS,NHL,Portman Victory Committee,"$5,000 ",2016,Republican,0.463,
1432,John P. McConnell,COLUMBUS BLUE JACKETS,NHL,Team Josh,"$5,000 ",2018,Republican,0.591,
1433,John P. McConnell,COLUMBUS BLUE JACKETS,NHL,Ohio Republican Party State Central & Executive Committee,"$4,900 ",2016,Republican,0.463,
1434,John P. McConnell,COLUMBUS BLUE JACKETS,NHL,Anthony Gonzalez for Congress,"$2,700 ",2018,Republican,0.591,
1435,John P. McConnell,COLUMBUS BLUE JACKETS,NHL,Stivers for Congress,"$1,000 ",2020,Republican,0.579,
1436,John P. McConnell,COLUMBUS BLUE JACKETS,NHL,Tiberi for Congress,$500 ,2016,Republican,0.463,
1437,John Rogers,CHICAGO SKY,WNBA,BLACK ECONOMIC ALLIANCE PAC,"$50,000 ",2018,Democrat,0.382,
1440,John Rogers,CHICAGO SKY,WNBA,DSCC,"$32,500 ",2018,Democrat,0.382,
1441,John Rogers,CHICAGO SKY,WNBA,DNC SERVICES CORP./DEM. NAT'L COMMITTEE,"$25,000 ",2018,Democrat,0.382,
1447,John Rogers,CHICAGO SKY,WNBA,DCCC,"$10,000 ",2018,Democrat,0.382,
1448,John Rogers,CHICAGO SKY,WNBA,INVESTMENT COMPANY INSTITUTE POLITICAL ACTION COMMITTEE,"$10,000 ",2018,"Bipartisan, but mostly Republican",0.382,
1449,John Rogers,CHICAGO SKY,WNBA,DSCC,"$10,000 ",2020,Democrat,0.545,
1450,John Rogers,CHICAGO SKY,WNBA,INVESTMENT COMPANY INSTITUTE POLITICAL ACTION COMMITTEE (ICI PAC),"$10,000 ",2020,"Bipartisan, but mostly Republican",0.545,
1451,John Rogers,CHICAGO SKY,WNBA,"AMY MCGRATH FOR SENATE, INC.","$5,600 ",2020,Democrat,0.545,
1452,John Rogers,CHICAGO SKY,WNBA,BEATTY FOR CONGRESS,"$5,600 ",2020,Democrat,0.545,
1453,John Rogers,CHICAGO SKY,WNBA,CHUY GARCIA FOR CONGRESS,"$5,600 ",2020,Democrat,0.545,
1454,John Rogers,CHICAGO SKY,WNBA,CITIZENS FOR RUSH,"$5,600 ",2020,Democrat,0.545,
1455,John Rogers,CHICAGO SKY,WNBA,CORY BOOKER FOR SENATE,"$5,600 ",2020,Democrat,0.545,
1456,John Rogers,CHICAGO SKY,WNBA,ELISSA SLOTKIN FOR CONGRESS,"$5,600 ",2020,Democrat,0.545,
1457,John Rogers,CHICAGO SKY,WNBA,FRIENDS OF DICK DURBIN COMMITTEE,"$5,600 ",2020,Democrat,0.545,
1458,John Rogers,CHICAGO SKY,WNBA,FRIENDS OF RAJA FOR CONGRESS,"$5,600 ",2020,Democrat,0.545,
1459,John Rogers,CHICAGO SKY,WNBA,HICKENLOOPER FOR COLORADO,"$5,600 ",2020,Democrat,0.545,
1460,John Rogers,CHICAGO SKY,WNBA,KAREN BASS FOR CONGRESS,"$5,600 ",2020,Democrat,0.545,
1461,John Rogers,CHICAGO SKY,WNBA,KENNEDY FOR MASSACHUSETTS,"$5,600 ",2020,Democrat,0.545,
1462,John Rogers,CHICAGO SKY,WNBA,LAUREN UNDERWOOD FOR CONGRESS,"$5,600 ",2020,Democrat,0.545,
1463,John Rogers,CHICAGO SKY,WNBA,MAYA R. CUMMINGS FOR CONGRESS,"$5,600 ",2020,Democrat,0.545,
1464,John Rogers,CHICAGO SKY,WNBA,MICHAEL BLAKE FOR CONGRESS,"$5,600 ",2020,Democrat,0.545,
1465,John Rogers,CHICAGO SKY,WNBA,PETERS FOR MICHIGAN,"$5,600 ",2020,Democrat,0.545,
1466,John Rogers,CHICAGO SKY,WNBA,WARNOCK FOR GEORGIA,"$5,600 ",2020,Democrat,0.545,
1467,John Rogers,CHICAGO SKY,WNBA,FRIENDS OF MARK WARNER,"$5,500 ",2020,Democrat,0.545,
1476,John Rogers,CHICAGO SKY,WNBA,FRIENDS OF RAJA FOR CONGRESS,"$5,400 ",2018,Democrat,0.382,
1477,John Rogers,CHICAGO SKY,WNBA,KAINE FOR VIRGINIA,"$5,400 ",2018,Democrat,0.382,
1478,John Rogers,CHICAGO SKY,WNBA,TERRI SEWELL FOR CONGRESS,"$5,400 ",2018,Democrat,0.382,
1479,John Rogers,CHICAGO SKY,WNBA,ROBIN KELLY FOR CONGRESS,"$5,400 ",2020,Democrat,0.545,
1483,John Rogers,CHICAGO SKY,WNBA,44 FUND,"$5,000 ",2018,Democrat,0.382,
1484,John Rogers,CHICAGO SKY,WNBA,FEARLESS FOR THE PEOPLE PAC,"$5,000 ",2018,Democrat,0.382,
1485,John Rogers,CHICAGO SKY,WNBA,PERIMETER PAC,"$5,000 ",2018,Democrat,0.382,
1486,John Rogers,CHICAGO SKY,WNBA,RUST BELT RISING PAC,"$5,000 ",2020,Democrat,0.545,
1487,John Rogers,CHICAGO SKY,WNBA,Unite The Country,"$5,000 ",2020,Democrat,0.545,
1488,John Rogers,CHICAGO SKY,WNBA,JAIME HARRISON FOR US SENATE,"$3,800 ",2020,Democrat,0.545,
1489,John Rogers,CHICAGO SKY,WNBA,MIKIE SHERRILL FOR CONGRESS,"$3,700 ",2018,Democrat,0.382,
1490,John Rogers,CHICAGO SKY,WNBA,LAUREN UNDERWOOD FOR CONGRESS,"$3,200 ",2018,Democrat,0.382,
1491,John Rogers,CHICAGO SKY,WNBA,MCCASKILL FOR MISSOURI,"$3,000 ",2018,Democrat,0.382,
1492,John Rogers,CHICAGO SKY,WNBA,PEMBERTON FOR MA,"$3,000 ",2020,Democrat,0.545,
1493,John Rogers,CHICAGO SKY,WNBA,CLAIRE RUSSO FOR CONGRESS,"$2,800 ",2020,Democrat,0.545,
1494,John Rogers,CHICAGO SKY,WNBA,DEVAL FOR ALL,"$2,800 ",2020,Democrat,0.545,
1495,John Rogers,CHICAGO SKY,WNBA,DR. AL GROSS FOR U.S. SENATE,"$2,800 ",2020,Democrat,0.545,
1496,John Rogers,CHICAGO SKY,WNBA,JACKIE GORDON FOR CONGRESS,"$2,800 ",2020,Democrat,0.545,
1497,John Rogers,CHICAGO SKY,WNBA,Kamala Harris For The People,"$2,800 ",2020,Democrat,0.545,
1498,John Rogers,CHICAGO SKY,WNBA,LULU FOR TEXAS,"$2,800 ",2020,Democrat,0.545,
1499,John Rogers,CHICAGO SKY,WNBA,MIKIE SHERRILL FOR CONGRESS,"$2,800 ",2020,Democrat,0.545,
1500,John Rogers,CHICAGO SKY,WNBA,NICK COLVIN FOR CONGRESS,"$2,800 ",2020,Democrat,0.545,
1501,John Rogers,CHICAGO SKY,WNBA,SCHAKOWSKY FOR CONGRESS,"$2,800 ",2020,Democrat,0.545,
1502,John Rogers,CHICAGO SKY,WNBA,Sherman for Congress,"$2,800 ",2020,Democrat,0.545,
1515,John Rogers,CHICAGO SKY,WNBA,TIM SCOTT FOR SENATE,"$2,700 ",2018,Republican,0.382,
1516,John Rogers,CHICAGO SKY,WNBA,ALEJANDRA CAMPOVERDI FOR CONGRESS,"$2,700 ",2018,Democrat,0.382,
1517,John Rogers,CHICAGO SKY,WNBA,BILL FOSTER FOR CONGRESS,"$2,700 ",2018,Democrat,0.382,
1518,John Rogers,CHICAGO SKY,WNBA,COMMITTEE TO ELECT DAN KOH,"$2,700 ",2018,Democrat,0.382,
1519,John Rogers,CHICAGO SKY,WNBA,DOUG JONES FOR SENATE COMMITTEE,"$2,700 ",2018,Democrat,0.382,
1520,John Rogers,CHICAGO SKY,WNBA,ELISSA SLOTKIN FOR CONGRESS,"$2,700 ",2018,Democrat,0.382,
1521,John Rogers,CHICAGO SKY,WNBA,FRIENDS OF DICK DURBIN COMMITTEE,"$2,700 ",2018,Democrat,0.382,
1522,John Rogers,CHICAGO SKY,WNBA,HEIDI JOE VICTORY FUND,"$2,700 ",2018,Democrat,0.382,
1523,John Rogers,CHICAGO SKY,WNBA,KAREN BASS FOR CONGRESS,"$2,700 ",2018,Democrat,0.382,
1524,John Rogers,CHICAGO SKY,WNBA,KIND FOR CONGRESS COMMITTEE,"$2,700 ",2018,Democrat,0.382,
1525,John Rogers,CHICAGO SKY,WNBA,Lisa Blunt Rochester for Congress,"$2,700 ",2018,Democrat,0.382,
1526,John Rogers,CHICAGO SKY,WNBA,MANCHIN FOR WEST VIRGINIA,"$2,700 ",2018,Democrat,0.382,
1527,John Rogers,CHICAGO SKY,WNBA,MENENDEZ FOR SENATE,"$2,700 ",2018,Democrat,0.382,
1528,John Rogers,CHICAGO SKY,WNBA,MONTANA NORTH DAKOTA VICTORY FUND,"$2,700 ",2018,Democrat,0.382,
1529,John Rogers,CHICAGO SKY,WNBA,ROBIN KELLY FOR CONGRESS,"$2,700 ",2018,Democrat,0.382,
1530,John Rogers,CHICAGO SKY,WNBA,RUFUS GIFFORD FOR CONGRESS,"$2,700 ",2018,Democrat,0.382,
1531,John Rogers,CHICAGO SKY,WNBA,TOM O'HALLERAN FOR CONGRESS,"$2,700 ",2018,Democrat,0.382,
1534,John Rogers,CHICAGO SKY,WNBA,BETO FOR TEXAS,"$2,500 ",2018,Democrat,0.382,
1535,John Rogers,CHICAGO SKY,WNBA,CONGRESSIONAL BLACK CAUCUS PAC,"$2,500 ",2018,Democrat,0.382,
1536,John Rogers,CHICAGO SKY,WNBA,MIKE ESPY FOR SENATE CAMPAIGN COMMITTEE,"$2,500 ",2018,Democrat,0.382,
1537,John Rogers,CHICAGO SKY,WNBA,Friends for Gregory Meeks,"$2,500 ",2020,Democrat,0.545,
1538,John Rogers,CHICAGO SKY,WNBA,DONNELLY FOR INDIANA,"$2,350 ",2018,Democrat,0.382,
1540,John Rogers,CHICAGO SKY,WNBA,BOB CASEY FOR SENATE INC,"$2,000 ",2018,Democrat,0.382,
1541,John Rogers,CHICAGO SKY,WNBA,DONNA SHALALA FOR CONGRESS,"$2,000 ",2018,Democrat,0.382,
1542,John Rogers,CHICAGO SKY,WNBA,HALEY STEVENS FOR CONGRESS,"$2,000 ",2018,Democrat,0.382,
1543,John Rogers,CHICAGO SKY,WNBA,JOSH HARDER FOR CONGRESS,"$2,000 ",2018,Democrat,0.382,
1544,John Rogers,CHICAGO SKY,WNBA,QUIGLEY FOR CONGRESS,"$1,500 ",2018,Democrat,0.382,
1545,John Rogers,CHICAGO SKY,WNBA,DELBENE FOR CONGRESS,"$1,500 ",2020,Democrat,0.545,
1546,John Rogers,CHICAGO SKY,WNBA,DOUG JONES FOR SENATE COMMITTEE,"$1,500 ",2020,Democrat,0.545,
1547,John Rogers,CHICAGO SKY,WNBA,MAGGIE FOR NH,"$1,500 ",2020,Democrat,0.545,
1548,John Rogers,CHICAGO SKY,WNBA,MCCAFFITY FOR CONGRESS,"$1,500 ",2020,Democrat,0.545,
1549,John Rogers,CHICAGO SKY,WNBA,MIKE THOMPSON FOR CONGRESS,"$1,500 ",2020,Democrat,0.545,
1550,John Rogers,CHICAGO SKY,WNBA,STEPHANIE MURPHY FOR CONGRESS,"$1,500 ",2020,Democrat,0.545,
1563,John Rogers,CHICAGO SKY,WNBA,ARIZONA NEVADA VICTORY FUND,"$1,000 ",2018,Democrat,0.382,
1564,John Rogers,CHICAGO SKY,WNBA,CASTEN FOR CONGRESS,"$1,000 ",2018,Democrat,0.382,
1565,John Rogers,CHICAGO SKY,WNBA,CHRIS COONS FOR DELAWARE,"$1,000 ",2018,Democrat,0.382,
1566,John Rogers,CHICAGO SKY,WNBA,COLIN ALLRED FOR CONGRESS,"$1,000 ",2018,Democrat,0.382,
1567,John Rogers,CHICAGO SKY,WNBA,FRIENDS OF CHERI BUSTOS,"$1,000 ",2018,Democrat,0.382,
1568,John Rogers,CHICAGO SKY,WNBA,FRIENDS OF RD,"$1,000 ",2018,Democrat,0.382,
1569,John Rogers,CHICAGO SKY,WNBA,GILLIBRAND FOR SENATE,"$1,000 ",2018,Democrat,0.382,
1570,John Rogers,CHICAGO SKY,WNBA,KLOBUCHAR FOR MINNESOTA,"$1,000 ",2018,Democrat,0.382,
1571,John Rogers,CHICAGO SKY,WNBA,MAURA SULLIVAN FOR CONGRESS,"$1,000 ",2018,Democrat,0.382,
1572,John Rogers,CHICAGO SKY,WNBA,RICHARD E NEAL FOR CONGRESS COMMITTEE,"$1,000 ",2018,Democrat,0.382,
1573,John Rogers,CHICAGO SKY,WNBA,RO FOR CONGRESS INC,"$1,000 ",2018,Democrat,0.382,
1574,John Rogers,CHICAGO SKY,WNBA,SCHAKOWSKY FOR CONGRESS,"$1,000 ",2018,Democrat,0.382,
1575,John Rogers,CHICAGO SKY,WNBA,FRIENDS OF RD,"$1,000 ",2020,Democrat,0.545,
1576,John Rogers,CHICAGO SKY,WNBA,HALEY STEVENS FOR CONGRESS,"$1,000 ",2020,Democrat,0.545,
1577,John Rogers,CHICAGO SKY,WNBA,MIKE JOHNSTON FOR US SENATE,"$1,000 ",2020,Democrat,0.545,
1578,John Rogers,CHICAGO SKY,WNBA,SCHIFF FOR CONGRESS,"$1,000 ",2020,Democrat,0.545,
1580,John Rogers,CHICAGO SKY,WNBA,COMMITTEE TO ELECT CHRIS MURPHY,$500 ,2018,Democrat,0.382,
1581,John Rogers,CHICAGO SKY,WNBA,ERIK JONES FOR CONGRESS,$500 ,2018,Democrat,0.382,
1582,John Rogers,CHICAGO SKY,WNBA,FRIENDS OF SHERROD BROWN,$500 ,2018,Democrat,0.382,
1583,John Rogers,CHICAGO SKY,WNBA,JOSH GOTTHEIMER FOR CONGRESS,$500 ,2018,Democrat,0.382,
1584,John Rogers,CHICAGO SKY,WNBA,MOULTON LEADERSHIP FUND,$500 ,2018,Democrat,0.382,
1585,John Rogers,CHICAGO SKY,WNBA,Sam Jammal for Congress,$500 ,2018,Democrat,0.382,
1586,John Sherman,KANSAS CITY ROYALS,MLB,Office of the Commissioner of Major League Baseball Political Action Committee,"$5,000 ",2020,Bipartisan,0.433,
1587,John Stanton,SEATTLE MARINERS,MLB,Office of the Commissioner of Major League Baseball PAC,"$10,000 ",2018,Bipartisan,0.549,
1588,John Stanton,SEATTLE MARINERS,MLB,Office of the Commissioner of Major League Baseball PAC,"$5,000 ",2020,Bipartisan,0.45,
1589,John Stanton,SEATTLE MARINERS,MLB,Hatch Election Committee Inc.,"$2,700 ",2018,Republican,0.549,
1590,John Stanton,SEATTLE MARINERS,MLB,Adam Smith for Congress Committee,"$2,700 ",2018,Democrat,0.549,
1591,John Stanton,SEATTLE MARINERS,MLB,Texans for Senator John Cornyn Inc.,"$2,000 ",2018,Republican,0.549,
1592,John Stanton,SEATTLE MARINERS,MLB,Texans for Senator John Cornyn Inc.,"$1,000 ",2020,Republican,0.45,
1593,John Stanton,SEATTLE MARINERS,MLB,Friends of Mark Warner,"$1,000 ",2020,Democrat,0.45,
1594,John W. Henry,BOSTON RED SOX ROUSH FENWAY RACING,"MLB, NASCAR",Dodson for Senate - Wyoming First,"$2,700 ",2018,Republican,0.667,
1599,Jon Ledecky,NEW YORK ISLANDERS,NHL,NUTMEG PAC,"$5,000 ",2016,Democrat,0.61,
1647,Kelly Loeffler,ATLANTA DREAM,WNBA,TRUMP VICTORY,"$290,300 ",2020,Republican,0.318,
